purchase_month,orders,late_rate
2016-09,1,1.0
2016-10,265,0.011320754716981131
2016-12,1,0.0
2017-01,750,0.030666666666666665
2017-02,1653,0.03206291591046582
2017-03,2546,0.05577376276512176
2017-04,2303,0.07859313938341293
2017-05,3545,0.03610719322990127
2017-06,3135,0.03859649122807018
2017-07,3872,0.034349173553719005
2017-08,4193,0.03315048891008824
2017-09,4150,0.052048192771084335
2017-10,4478,0.05292541313086199
2017-11,7288,0.1431119648737651
2017-12,5513,0.08380192272809722
2018-01,7069,0.06563870420144292
2018-02,6555,0.15987795575896263
2018-03,7003,0.21362273311437954
2018-04,3209,0.06419445310065441
